name,lat,long
Derri,30.62083,76.69161
Desu Majra,30.74144,76.6712
Devilal chowk Panchkula,30.68331,76.86726
Dhakoli,30.65539,76.8441
Dhakoli Border,30.65806,76.84479
Dhanas Colony,30.7749,76.7527
Dhanas (Down),30.76946,76.75026
Dhanas Lake,30.76503,76.75476
Dhanas near Bridge,30.76078,76.74459
Dhanas (Up),30.76975,76.74999
DLF Chowk,30.81069,76.73015
DM Bridge,30.75818,76.74405
Doda Majra,30.81014,76.72105
Dolphin Chowk,30.72945,76.8521
"DRONACHARYA SPORTS STADIUM,VILLAGE DADUMAJRA",30.75958,76.73336
Eco City-2 Block C Takipur,30.82979,76.71605
Eco City-2 Block D,30.83555,76.71589
ECO City New Chandigarh,30.81707,76.73267
Elante Mall (Down),30.70589,76.79668
Elante Mall (Up),30.70515,76.79725
Faidan Village,30.68844,76.76542
Fatehpur,30.83184,76.61245
Ferozpur (Down),30.8148,76.73855
Ferozpur (Up),30.81832,76.73821
Fire Brigade Phase-2 Towards Ramdarbar,30.69655,76.78643
Fire Brigade Phase-2 Towards Sector 31,30.69668,76.78634
Focal Point/Silver City,30.60775,76.85007
Fortis Hospital,30.69383,76.73081
Fortis-PSEB (Down),30.69608,76.73193
Franco,30.72672,76.724
Furniture Chowk(UT Border),30.72729,76.73384
Geeta Bhawan Chowk,30.70317,76.85024
"G.G.M.S.S.SCHOOL, SECTOR-18C, Chandigarh",30.73333,76.78774
"G.G.M.S.S.SCHOOL, SECTOR-20B, Chandigarh",30.72221,76.7857
G.M.C.H. 32,30.70859,76.78304
"G.M.S.S.SCHOOL, SECTOR-19C, Chandigarh",30.72672,76.79036
"G.M.S.S.School, Sector 20D, Chandigarh",30.72066,76.77602
"G.M.S.S.SCHOOL, SECTOR-21A, Chandigarh",30.72737,76.77747
"G.M.S.S.SCHOOL, SECTOR-27C, Chandigarh",30.72087,76.79701
"G.M.S.S.SCHOOL, TIMBER MARKET, SECTOR-26, Chandigarh",30.72166,76.81477
"G.M.S.S.School, Village Dhanas",30.76889,76.75113
Golden Sand Apartment Dhakoli,30.64677,76.84321
Golf Range,30.73696,76.81093
"GOVERNMENT COLLEGE OF COMMERCE & BUSINESS ADMINISTRATION, SECTOR 50-C",30.69675,76.74581
GOVERNMENT HIGH SCHOOL SECTOR 52,30.71328,76.73228
GOVERNMENT HIGH SCHOOL (SMART) SECTOR 50 B,30.69996,76.74996
"GOVERNMENT MODEL HIGH SCHOOL, SECTOR 49 D",30.69281,76.74974
GOVERNMENT MODEL SENIOR SECONDARY SCHOOL RC‐1 SMALL FLATS MALOYA,30.75343,76.7139
Govind Vihar,30.66558,76.82591
"GOVT COLLEGE OF EDUCATION, SECTOR-20D, Chandigarh",30.71976,76.77777
"Govt High School and Community Centre, New Indira Colony",30.72186,76.84332
"GOVT HIGH SCHOOL HALLOMAJRA, CAMPUS 2, INDUSTRIAL AREA, PHASE-1",30.69102,76.80055
"GOVT HIGH SCHOOL, MALOYA COLONY",30.7591,76.72357
"GOVT HIGH SCHOOL, SEC-38 B",30.74352,76.74949
"GOVT HIGH SCHOOL, SECTOR-19D",30.72855,76.79144
"GOVT HIGH SCHOOL, SECTOR 24 A",30.74846,76.76332
"GOVT HIGH SCHOOL, SECTOR-30A",30.71549,76.78893
GOVT HIGH SCHOOL SECTOR 32 D,30.70891,76.77032
"GOVT HIGH SCHOOL, SECTOR 46 C",30.69789,76.76267
"GOVT HIGH SCHOOL, SECTOR-47A",30.69921,76.77035
