name,lat,long
Sector 11 Market,30.75989,76.78308
Sector 12/2,30.76548,76.78815
Sector 123 (Mohali),30.76475,76.6681
Sector 125 (Mohali),30.75667,76.66944
Sector 12 Panchkula (Down),30.68343,76.85539
Sector 12 Panchkula (Up),30.684,76.86119
Sector 14/15,30.75477,76.76917
Sector 14/25,30.75582,76.76174
Sector 15/10 Panchkula,30.68774,76.84412
Sector 15/11,30.75437,76.77931
Sector 15/14,30.75578,76.7709
Sector 15/16,30.7501,76.77578
Sector 15/24,30.74999,76.76614
Sector 15D/14,30.75386,76.76774
Sector 15 market,30.75199,76.77281
Sector 16/10 General Hospital,30.75143,76.7816
Sector 16/15,30.74888,76.77412
Sector 16/17,30.74208,76.77813
Sector 16/17 near Matka Chowk,30.7456,76.78395
Sector 16/23,30.7441,76.77085
Sector 16/9 Panchkula,30.69384,76.84093
Sector 16 Market (Down),30.74666,76.7768
Sector 16 Market (Up),30.74698,76.77654
Sector 17/16,30.74193,76.77829
Sector 17/16 near Matka Chowk,30.7458,76.78462
Sector 17/18,30.73432,76.78109
Sector 17/18 (Govt. Press),30.73926,76.78872
Sector 17/22,30.75307,76.78835
Sector 17/8 Panchkula,30.69937,76.83945
Sector 17/9 K.C (Down),30.74311,76.78887
Sector 17/9 K.C (Up),30.74179,76.78975
Sector 18/17,30.73734,76.78611
Sector 18/17 (Govt. Press),30.74006,76.79106
Sector 18/19,30.72825,76.78555
Sector 18/21,30.73124,76.78176
Sector 18/8,30.73682,76.7941
Sector 18 Market (Down),30.73339,76.78867
Sector 18 Market (Up),30.73388,76.78798
Sector 19/18,30.72802,76.7857
Sector 19/20,30.7252,76.78726
Sector 19/27,30.72508,76.79494
Sector 19/27A,30.72851,76.80038
Sector 19/7,30.73097,76.79945
Sector 19C/27,30.72247,76.79082
Sector 19 Market (Down),30.72863,76.79264
Sector 19 Market (Up),30.72736,76.79408
Sector 20/19,30.72397,76.78806
sector 20/21,30.72361,76.77847
Sector 20/33,30.71934,76.77462
Sector 20B/30A,30.71925,76.7856
Sector 20C/30D,30.71566,76.77962
Sector 20 Market,30.72124,76.78159
Sector 20 Panchkula,30.66839,76.85781
Sector 21/18,30.72973,76.78282
Sector 2/11A PEC,30.76449,76.78788
Sector 2/12,30.76535,76.78824
sector 21/20,30.7246,76.78002
Sector 21/22 Aroma,30.73074,76.77586
Sector 21/34,30.72513,76.76961
Sector 21A/22,30.73263,76.77851
Sector 21 Market,30.72658,76.77692
Sector 21 Market Panchkula,30.67555,76.86416
Sector 22,30.73031,76.76692
Sector 22/17,30.73597,76.7774
Sector 22/23,30.73678,76.76913
Sector 22/23 Panchkula,30.67898,76.8806
Sector 22/35,30.73174,76.7639
Sector 22C(UP/DOWN),30.72735,76.76997
Sector 23/16,30.74353,76.77107
Sector 23/22,30.73563,76.76723
Sector 23/24 Chandigarh,30.74276,76.76179
Sector 23/24 Panchkula,30.66843,76.87815
Sector 23/36,30.73762,76.7595
Sector 23 Market,30.73799,76.76666
Sector 24/15,30.74929,76.76646
Sector 24/23 Chandigarh,30.74424,76.76391
Sector 24/25,30.74837,76.75907
Sector 24/25 Panchkula,30.66799,76.88066
Sector 24/37,30.74268,76.75562
Sector 24 Market,30.74595,76.76135
Sector 25/14,30.75537,76.76182
Sector 25/24,30.74781,76.75808
Sector 25/38 Light Point,30.74733,76.75227
Sector 25 near Dental College,30.74624,76.75545
Sector 26/27,30.72719,76.80326
Sector 26/27 Outer Panchkula,30.65717,76.88791
Sector 26/28 Grain Market,30.72252,76.8079
Sector 26 Panchkula,30.66151,76.88184
Sector 26 Polytechnic College Panchkula,30.65761,76.88121
Sector 27/19,30.725,76.79506
Sector 27/19C,30.7224,76.79089
Sector 27/26,30.72576,76.80446
Sector 27/28,30.72084,76.80262
Sector 27/28 Panchkula,30.65089,76.88035
Sector 27/30,30.71971,76.79228
Sector 27A/19,30.72839,76.80047
Sector 27 Market (Down),30.72279,76.79879
Sector 27 Market (Up),30.72459,76.79693
Sector 28/26 Grain Market,30.7224,76.80765
Sector 28/27,30.71989,76.80105
Sector 28/29,30.71432,76.79767
Sector 28 Market (Down),30.71731,76.8035
Sector 28 Market (Up),30.71577,76.80585
Sector 28 Petrol Pump (Down),30.7152,76.80779
Sector 28 Petrol Pump (Up),30.71504,76.80811
Sector 29/28,30.71311,76.7987
Sector 29/30,30.71377,76.79134
Sector 29/31 (Tribune),30.70814,76.78497
Sector 29/31 (Tribune) Down,30.70803,76.78484
Sector 29/ Industrial Area Phase-1,30.71049,76.80008
Sector 29 Market (Down),30.71073,76.79178
Sector 29 Market (Up),30.7097,76.79198
Sector 30/27,30.71821,76.79367
Sector 30/29,30.71318,76.79033
Sector 30/32 Hospital,30.71139,76.78175
Sector 30A/20B,30.71911,76.78574
Sector 30D/20C,30.71546,76.77982
Sector 30D/32,30.71391,76.77941
Sector 30 Market,30.71524,76.78794
Sector 31/29 (Tribune),30.70502,76.78882
Sector 31/32 Market,30.7068,76.78021
Sector 31 Market,30.70537,76.78011
Sector 32/30D,30.71339,76.7796
Sector 32/30 Hospital,30.7113,76.78155
Sector 32/31,30.70607,76.77894
Sector 32/31 S.D. College,30.70316,76.77439
Sector 32/33,30.7107,76.77224
Sector 32A/33,30.71396,76.77739
Sector 32 Market,30.71051,76.7735
Sector 33/20,30.71634,76.77705
Sector 33/32,30.71079,76.77212
Sector 33/34,30.71656,76.76736
Sector 33/34 Labour chowk,30.71969,76.77228
Sector 33D/32A,30.71404,76.7773
Sector 33 Market,30.71425,76.76931
Sector 34/21,30.72143,76.77233
Sector 34/33,30.71675,76.76719
Sector 34/35,30.72221,76.76184
Sector 34A/35B JW Marriot,30.72477,76.76619
Sector 34D/35C,30.72058,76.75918
Sector 34 Market,30.72028,76.76514
Sector 35/22,30.72744,76.76736
Sector 35/34,30.7235,76.76385
Sector 35/34 Light Point,30.72269,76.76284
Sector 35/36 Flower Market,30.72877,76.75648
Sector 35/36 Kissan bhawan,30.73243,76.76231
Sector 35B/34A JW Marriot,30.72513,76.76632
Sector 35C/34D,30.72016,76.75841
Sector 35 Market (Down),30.72557,76.7597
Sector 36/23,30.7375,76.75922
Sector 36/23 Kissan bhawan,30.73404,76.76194
Sector 36/35 Flower Market,30.72979,76.75773
Sector 36/35 Kissan Bhawan,30.73256,76.76217
Sector 36/37,30.73495,76.75191
Sector 36B/36C,30.73012,76.75683
Sector 36 Market,30.73139,76.75494
Sector 37/24,30.74123,76.75654
Sector 37/36,30.73301,76.7488
Sector 37/38,30.74207,76.74892
Sector 37/41,30.73553,76.74441
Sector 37 A Bhaskar Chowk,30.74411,76.75217
Sector 37 Market (Down),30.73797,76.74946
Sector 37 Market (Up),30.73806,76.74981
Sector 38/25,30.74712,76.75196
Sector 38/25 Light Point,30.75071,76.74856
Sector 38/37,30.74048,76.74642
Sector 38/38W,30.74703,76.74275
Sector 38/39,30.74835,76.73513
Sector 38/40,30.7414,76.73997
Sector 38 Market,30.74398,76.74525
Sector 38W/38,30.74717,76.74255
Sector 38 West,30.75279,76.73758
Sector 38 West Light Point,30.75043,76.73364
Sector 39/38 west,30.74746,76.73553
Sector 39/40 Towards Sector 25 West,30.73968,76.73054
Sector 39/56,30.74199,76.72335
Sector 39 Market,30.74344,76.7287
Sector 40/38,30.74342,76.73849
Sector 40/39,30.73979,76.7314
Sector 40/41,30.73529,76.73782
Sector 40C/41,30.73172,76.73233
Sector 40 Market,30.73807,76.73341
Sector 4/11,30.6874,76.85599
Sector 41/37,30.73455,76.74489
Sector 41/40,30.73508,76.73799
Sector 41/40 Market,30.7332,76.73481
Sector 41/42,30.73019,76.74052
Sector 41A/40B,30.73729,76.74134
Sector 41 Market Towards 40,30.73199,76.73793
Sector 41 Market Towards 42,30.73149,76.73837
Sector 42/43,30.72284,76.74663
Sector 42/53,30.72394,76.73673
Sector 42 Market towards ISBT 43,30.72468,76.744
Sector 42 Market towards Sector 41,30.72539,76.74331
Sector 43/42,30.72191,76.74554
Sector 43/42-,30.72191,76.74645
Sector 43/44,30.71647,76.7524
Sector 43C,30.71976,76.74816
Sector 43C/44,30.71515,76.75051
Sector 43 In,30.7159,76.74337
Sector 44/43,30.71579,76.75161
Sector 44/45,30.70886,76.75462
Sector 44/51(Colony No. 5),30.70893,76.74899
Sector 44A/43,30.71862,76.75622
Sector 44C Gaushala,30.70718,76.75209
Sector 44 market towards 43,30.71315,76.75239
Sector 44 Market towards 45,30.71319,76.75247
Sector 45/44 Towards ISBT 43,30.7105,76.75741
Sector 45/44 Up Towards Sukhna Lake,30.70892,76.75603
Sector 45/46,30.70502,76.7628
Sector 45A/44B,30.71296,76.76139
Sector 45D/44,30.70756,76.75282
Sector 45 Market,30.70595,76.75744
Sector 46/45,30.70486,76.76293
SECTOR 46/47,30.69882,76.76729
Sector 46A/45,30.70689,76.76599
Sector 46 Market (Down),30.70228,76.76466
Sector 46 Market (Up),30.70107,76.76565
SECTOR 47/46,30.69908,76.76801
Sector 47 Market (Down),30.69639,76.76869
Sector 47 Market - Up,30.69573,76.7698
Sector 47 Outer Towards Ramdarbar,30.69254,76.77154
Sector 48/49 (U.T. Border) (Down),30.68778,76.74991
Sector 48/49 (UT Border) (Up),30.68787,76.74983
Sector 49A/50B,30.69777,76.75163
Sector 49D/50C (U.T. Border),30.69414,76.74571
Sector 49 Market (UP),30.69349,76.75301
Sector 4 Panchkula,30.69039,76.86107
Sector 50/45,30.70366,76.75335
Sector 50/51,30.70347,76.7463
Sector 50B/49A,30.69846,76.75234
Sector 50C/49D(U.T. Border),30.69425,76.74563
Sector 50D/51,30.7022,76.74481
Sector 50 Market (Down),30.70046,76.7485
Sector 50 Market (UP),30.69984,76.74891
Sector 51/44(Colony No. 5),30.70886,76.74851
Sector 51/50,30.70356,76.74621
Sector 51/52,30.70881,76.74051
Sector 51A,30.71141,76.74454
Sector 51 Market,30.70594,76.7433
Sector 52/51,30.7095,76.74149
Sector 52/53,30.71765,76.73477
Sector 53/42,30.72363,76.73654
Sector 53/52,30.71802,76.73572
Sector 53A near Mohali Barrier,30.71319,76.7313
Sector 53 near school,30.71556,76.73333
Sector 54/55,30.72951,76.72891
Sector 55/54,30.72966,76.72876
Sector 55/Phase-1,30.73123,76.71999
Sector 55 Phase 1 (35),30.7323,76.71916
Sector 56/39,30.74122,76.7237
Sector 56/55,30.73478,76.72274
Sector 61/62,30.7016,76.7284
Sector 62/61,30.70192,76.72948
Sector 62/63(U.T. Border),30.69859,76.73811
Sector 63/62(U.T. Border),30.69837,76.73823
Sector 63/64,30.69056,76.73989
Sector 63/64 Light Point,30.68902,76.73737
Sector 63/Phase-9,30.69264,76.73473
Sector 64/63,30.68859,76.73669
Sector 64 Market/Phase 10,30.68785,76.73837
Sector 65/Phase 11,30.67692,76.74873
Sector-66/67 (Mohali),30.67375,76.72745
Sector 66/81(IISER),30.66776,76.73074
Sector 66A/82,30.65624,76.73909
Sector 66/Industrial Area,30.66767,76.73309
Sector 66 Market,30.67343,76.73247
Sector 67/66 (Mohali),30.67385,76.72738
Sector 67/68,30.68063,76.72426
Sector 67/80,30.67861,76.72198
Sector 67 Market,30.68122,76.72896
Sector 68/67,30.68711,76.73196
Sector 68/69,30.69007,76.72322
Sector 68/79,30.68366,76.71783
Sector 69/68,30.69032,76.72322
Sector 69/70,30.69774,76.72288
Sector 70/69,30.6948,76.71766
Sector 7/19,30.73128,76.7995
Sector-72/75,30.70444,76.70007
Sector-74/119,30.71826,76.68844
Sector-75/72,30.70439,76.69994
Sector 7/8,30.73893,76.80296
Sector 7/8 Panchkula,30.703,76.84338
Sector 79/68,30.68349,76.71746
Sector 79/80,30.67707,76.71806
Sector 7 Market,30.73628,76.80085
Sector 80/67,30.6781,76.72209
Sector 80/79,30.67687,76.71829
Sector 81/66(IISER),30.66665,76.73116
Sector 8/17 Panchkula,30.69939,76.83959
Sector 8/18,30.73792,76.79331
Sector 82,30.65544,76.73961
Sector 82/66A,30.65609,76.73885
Sector 82/81,30.66287,76.73339
Sector 82A,30.63836,76.73367
Sector 83/Saini Majra,30.64867,76.72541
Sector 8/5,30.74415,76.80491
Sector 8/7,30.73736,76.80045
Sector 8/9,30.74242,76.79438
Sector 8D/18,30.73958,76.79181
Sector 8 Market,30.73979,76.79736
Sector 9/16 Panchkula,30.69389,76.84115
Sector 9/17,30.74442,76.78766
Sector 9/8,30.74256,76.79419
Sector 9A Parking,30.75256,76.79529
Sector 9D/17,30.74545,76.78683
Sector 9 Market (Down),30.74732,76.79394
Sector 9 Market (Up),30.74784,76.79356
SGGS-26 College,30.73255,76.80957
SGGS-26 Girls College,30.73134,76.81019
"SGGS COLLEGIATE PUBLIC SCHOOL, SECTOR-26, Chandigarh",30.73249,76.8086
"SHARDA SARVHITKARI MODEL SENIOR SECONDARY SCHOOL, SECTOR 40 D",30.7369,76.73068
"SHISHU NIKETAN MODEL Sr Sec SCHOOL, SECTOR -22D, Chandigarh",30.73297,76.76525
"SHIVALIK PUBLIC SCHOOL, SECTOR 41 B",30.73298,76.74132
Sialba Majri,30.84134,76.66743
Singhpura (Down),30.62683,76.82402
Singhpura (UP),30.63186,76.82333
Siyonk/Soonak,30.80233,76.77248
Sohana,30.69122,76.70987
Sohana Light Point,30.69039,76.7123
Sports Complex,30.73429,76.80258
Sports Complex Kajheri,30.71455,76.73812
"SPORTS COMPLEX, SARANGPUR",30.77868,76.75447
"SPORTS COMPLEX, SECTOR 38",30.74786,76.74007
"SPORTS COMPLEX,SECTOR 56",30.73641,76.72201
"SPORTS COMPLEX, SECTOR-7",30.73407,76.80382
Sri Guru Gobind Singh Sr. Sec. School,30.72538,76.76312
"ST JOSEPH SCHOOL, SECTOR 44",30.71215,76.75062
ST.STEPHEN SCHOOL SECTOR 45 B,30.70855,76.76575
Sukhgarh,30.65566,76.70004
Sukhna Lake,30.74335,76.80886
Sunny-Gilco Park,30.61923,76.70192
Sushma Square,30.64875,76.84351
Tangori,30.59169,76.70513
Tank Chowk,30.7074,76.86459
Tanki Mod,30.61676,76.85737
Tida Cricket Stadium New,30.77887,76.7213
Togan,30.76736,76.73254
T-Point Flyover Derri,30.61685,76.69529
Transport Chowk (Down),30.71822,76.81189
Transport Chowk (Up),30.71674,76.81352
Tribune Chowk,30.70354,76.7897
Tribune Chowk 1,30.70287,76.791
Tribune Chowk 2,30.70461,76.79109
Tribune Chowk / Industrial Phase 1/2,30.70167,76.79236
"TRIBUNE MODEL SCHOOL, SECTOR-29D",30.70987,76.78789
"U.I.E.T. ACADEMIC BLOCK 1, SECTOR 25",30.74791,76.75706
"U.I.E.T. ACADEMIC BLOCK 2, SECTOR 25",30.74885,76.75697
U.T. GUEST HOUSE,30.74232,76.80952
UT Secretariat Towards High Court,30.74989,76.79088
UT Secretariat Towards ISBT 43,30.74913,76.78968
"VACANT FLAT, IN PART 2, MAULI JAGRAN, CHANDIGARH",30.68933,76.81716
Victoria Enclave Zirakpur,30.65212,76.80331
vikasnagar,30.77536,76.7806
Vikas Nagar,30.69008,76.81407
"XEN HORTICULTURE DIVISION, SECTOR - 23C",30.7371,76.76382
YPS CHOWK (Down),30.70591,76.7352
YPS Chowk (Up),30.7057,76.73557
YPS/Sector 52/61,30.70928,76.73132
YPS/Sector 61/52,30.709,76.73128
Zirakpur Bus Stand,30.65917,76.82125
Zirakpur (Down),30.65884,76.82052
Zirakpur/S/Vihar,30.65467,76.82044
Zirakpur (Up),30.65744,76.82091
Bhago Majra,30.67326,76.67115
Mianpurchanger,0,0
Harmilap Nagar,30.67944,76.82526
Railway Crossing Towards 28 Grain Market,30.7125,76.8205
Rani Majra,30.80863,76.703
"RYAN INTERNATIONAL SCHOOL, SECTOR 49-B",30.69447,76.75543
Singha Devi,0,0
TDI CITY,0,0
