0,1,2
211,"GOVT MODEL HIGH SCHOOL, SECTOR-25",S733
212,"GOVT MODEL HIGH SCHOOL SECTOR-26, Chandigarh",S776
213,"GOVT MODEL HIGH SCHOOL SECTOR-28C, Chandiqarh",S782
214,GOVT MODEL HIGH SCHOOL SECTOR-29A,S790
215,"GOVT MODEL HIGH SCHOOL SECTOR 31 C, CHANDIGARH",S805
216,GOVT MODEL HIGH SCHOOL SECTOR 34 C,S898
217,"Govt Model High School, Sector 35D",S923
218,GOVT MODEL HIGH SCHOOL SECTOR 38 D,S875
219,GOVT MODEL HIGH SCHOOL SECTOR 38(WEST),S876
220,Govt Model High School Sector 40A,S926
221,"GOVT. MODEL HIGH SCHOOL, SECTOR 41A",S885
278,Haripur,Haripur
279,Harmilap Nagar.,S472
280,HDFC Head Office Chowk,S1007
281,High Court (Up & Down),S20
282,Homi Bhabha Hospital,S668
283,Hoshiarpur,S703
284,Housing Board Chowk,S620
285,Housing Board Chowk Towards ISBT 43,S43
286,Housing Board Chowk Towards Panchkula,S42
287,Housing Board Towards 9/16,S477
288,Indira Colony Down,S75
289,Indira Colony Up.,S536
290,Industrial Area Phase-1,S956
291,Industrial Area Phase -1/ Sector 28,S367
292,Industrial Area Phase 2,S571
293,Industrial Area Phase 2 in front Tata Motors,S972
294,Industrial Area Phase 2 near passport office,S958
295,Industrial Area Phase 2 near PRTC,S957
296,Industrial Area Phase 2/ Phase 1,768
297,IRB Camp,S357
298,ISBT 17,S21
299,l.S.B.T. 17 BackSide,S706
300,ISBT 17 (Sector 22/17),S415
301,ISBT 43,S22
302,ISBT Mohali,S30
303,"I.S.DEV SAMAJ Sr Sec SCHOOL, SECTOR-21C, Chandigarh",S774
304,IT Park (Down),S149
305,IT Park Parking,S558
306,IT Park Up,S533
307,IVY Hospital (Down).,S305
308,IVY Hospital (Up),S306
309,Jagatpura/ 48 Motor Market.,S349
310,Jal Vayu Tower.,S665
311,"JANJ GHAR, BURAIL",S911
312,"JANJ GHAR, COMMUNITY CENTRE, SECTOR-47B",S796
313,"JAWAHAR NAVODAYA VIDYALAYA, SECTOR 25",S732
314,Jayanti Majri,Jayanti Majri
315,Jhande Majra.,S398
316,Jhungiyan,S388
317,Jhurheri,S667
318,Jhurheri Parking.,S988
319,Jujhar Nagar,S371
320,Kaali Baari Mandir. towards 3BRD,S501
321,Kaali Baari Mandir towards 47,S945
322,Kaimbwala 1,S151
323,Kaimbwala 2,S152
324,Kakrali,S408
325,Kalagram Down,S145
326,Kalagram Up,S537
327,Kansal,S335
328,Kendriya Sadan.,J002
329,KENDRIYA VIDYALAYA SECTOR-29B,S804
330,KFC,S663
331,Kharar,S24
332,Khera,S278
333,Khizrabad,S165
334,Khuda Alisher.,S338
335,Khuda Lahora Bridge,S269
336,Khuda Lahora (Down),S70
337,Khuda Lahora (Up),S71
338,Kishan bhavan,Kishan bhavan
339,Kishangarh Down,S143
340,Kishangarh Up,S535
341,Kubaheri,S400
342,Kurali,S561
343,K.V. School- 29,S466
344,K.V. School-31,S486
345,Lake Chowk,S680
346,Lake mod,S612
347,Lake Parking,S628
348,Lakhnaur,S271
360,Majra/Siswan T/P,S279
361,Majri Chowk,S557
362,Maloya,S171
363,Maloya Mod/Anaj Mandi Towards Maloya,S940
364,Maloya Mod/Anaj Mandi Towards Water Works,S976
365,ManakPur/Sangatpura,S399
366,Manauli,S701
367,Manav International School,S1000
368,Mani Majra,S414
369,Mani Majra Fun Republic,S426
370,Mani Majra Fun Republic(UP),S630
371,ManiMajra Outer,S544
372,Mani Majra Town,S374
373,Mansa Devi Complex,S685
374,Mata Mansa Devi,S88
375,Mauli Jagran,S263
376,Mauli Nabi,S697
377,MCM COLLEGE FOR WOMEN SECTOR 36,$900 
378,"MDAV HIGH SCHOOL SECTOR-22A, CHANDIGARH",S754
379,MedCity Light,S688
380,Mianpur,Mianpur
381,Mianpurchanger,Mianpurcha nger
382,Milk Colony Towards Barrier,S715
383,Milk Colony Towards Depot 3,S716
384,Mini Park,J004
385,Mini Secretariat (Down),S52
386,Mini Secretariat (Up),S53
387,MLA flat chowk,S613
388,MLA Flats (Down),S50
389,MLA Flats (Up),J001
390,Modern Complex,S150
391,Moginanad/Sector 25 (Down),S76
392,Moginanad/Sector 25 (Up),S77
393,Mohali Bus Stand,S313
394,Morni T-Point,S1021
417,"NEW PUBLIC SCHOOL, SECTOR-18B",S766
418,Old Barrier,S169
419,"OLD COMMUNITY CENTRE VIKAS NAGAR, MAULI JAGRAN. CHANDIGARH",S808
420,Old Panchkula (PKL),S34
421,Omaxe Phase-1/2,S1011
422,Omaxe Tower,S1008
423,Omax Phase-II,S692
424,Palsora (Chandigarh),S662
425,PANCHAYAT GHAR NEAR SAMPARK CENTER. DHANAS,S737
426,Panchkula Bus Stand.,S324
427,"Parchh, Punjab","Parchh, Punjab"
428,Paroul (Down),S277
429,Paroul (Up),S556
430,Patiala Road Airport Lights,S705
431,Paultry Farm,S339
432,P.B. Border,S473
433,PGI,S148
434,PGI(UP),PGI(UP)
435,Phase-11 (Mohali),S347
436,Phase-3/5 (Down),S303
437,Phase-3/5 (Up),S304
438,Phase 6 - 35,S585
439,Phase-6 (U.T Border) A.,S170
440,Phase-6 (U.T Border) C,S546
441,Phase-7/8 (Mohali),S384
442,Phase-7 (Down),S312
443,Phase-7 (Up),S538
444,Phase-8,S465
445,Phase 8/Amb sahib,S608
446,picardly chowk.,picardly chowk
447,Plaksha University,S1003
448,Platinum Homes/Sanauli,S981
449,Police Line Sec-25,S1020
450,"POST GRADUATE GOVT COLLEGE FOR GIRLS, SECTOR 42",S905
451,POST GRADUATE GOVT COLLEGE. SECTOR 46B,S856
452,P.S.E.B. Sector 62,S316
453,Punjab Civil Secratariat,S36
454,Punjab Engineering College (PEC),S49
455,"PUNJAB MLA HOSTEL CANTEEN, SECTOR 4, CHANDIGARH",S742
456,Purkhali,Purkhali
457,Railway Crossing Towards 28 Grain Market,S417
458,Railway Crossing Towards Manimajra.,500
459,Railway Crossing towards Railway Station,S416
460,Railway Station (Chandigarh),S51
461,Railway Station (Mohali),S355
462,Raipur,S588
463,Raipur Kalan (U.T. Border,S382
464,Raipur Khurd.,S8
465,Raipur Khurd-1,S418
466,Raipur Khurd. Towards Zirakpur.,S422
467,Ram Darbar,S94
468,Ramgarh,S406
469,Rangilpur,Rangilpur
470,Rani Majra,S693
471,Rasulpur,S691
472,R.B.P. City,S1004
473,"RIMT WORLD SCHOOL MANIMAJRA, Chandigarh",S838
474,Risort Lake,S1009
