0,1,2
248,"GOVT MODEL Sr. Sec SCHOOL, RAIPUR KALAN, CHANDIGARH",S814
249,Govt Model Sr Sec Schoo!. RC1 Maloya,S828
250,"GOVT.MODEL.SR SEC.SCHOOL, SARANGPUR",S738
251,"GOVT MODEL SR SEC SCHOOL , SECTOR - 10A, CHANDIGARH",S746
252,"GOVT MODEL Sr SEC SCHOOL, SECTOR-15C, CHANDIGARH",S752
253,"GOVT MODEL SR SEC SCHOOL, SECTOR-16C, Chandigarh",S753
254,"GOVT MODEL Sr SEC SCHOOL, SECTOR-22A Chandigarh",S755
255,"Goyt. Model Sr. Sec. School Sector-23A, chandigarh",S760
256,"GOVT.MODEL Sr Sec SCHOOL, SECTOR 32 C",S894
257,"GOVT MODEL Sr Sec SCHOOL, SECTOR 33 D",S897
258,"GOVT. MODEL Sr Sec SCHOOL, SECTOR 37 D",S903
259,"GOVT MODEL Sr SEC SCHOOL, SECTOR - 8B CHANDIGARH",S743
260,"GOVT PRIMARY SCHOOL POCKET NO-1, MANIMAJRA",S844
261,GOVT. PRIMARY SCHOOL (RC-3) DHANAS,S727
262,"GOVT. PRIMARY SCHOOL, SECTOR-12, CHANDIGARH",S748
263,"GOVT PRIMARY SCHOOL SECTOR-26(TM), Bapu Dham",S914
264,"GOVT SENIOR SECONDARY SCHOOL, MANIMAJRA TOWN, Chandigarh",S837
265,"GOVT SENIOR SECONDARY SCHOOL, VILLAGE RAIPUR KHURD",S801
266,GOVT SR SEC SCHOOL. KHUDA LAHORA,S739
267,GOVT Sr Sec SCHOOL SECTOR 45 A,S907
268,"GOVT. SR. SEC. SCHOOL. VILLAGE - MAULI JAGRAN, CHANDIGARH",S806
269,Gurudhwara Chowk.,Gurudhwara Chowk
270,"GURU HARKRISHAN PUBLIC SCHOOL, SECTOR 40C",S891
271,"GURUKUL GLOBAL SCHOOL, MANIMAJRA, Chandiqarh",S839
272,Guru Nanak,J003
273,"GURU NANAK KHALSA SENIOR SECONDARY SCHOOL, SECTOR-30",S802
274,Guru Nanak Public School Sector 36 Chandigarh,S929
275,"GYMNASIUM HALL CCA , PEC, SECTOR -12, CHANDIGARH",S749
276,Hallo Majra (Down),S9
277,Hallo Majra (UP),S78
395,"MOTI RAM ARYA SENIOR SECONDARY SCHOOL. SECTOR-27A, Chandigarh",S780
396,Mouli Nabi (Down).,S401
397,Mubarkpur,S270
398,Mullanpur,S154
399,Nabha Sahib,S490
400,Nabha Sahib (Down),S491
401,Nabha Village.,S626
402,Nada Sahib,S120
403,Nada Village.,S563
404,Nandiali,S627
405,Naya Gaon,S261
406,New Airport,S161
407,New Airport Chowk- Mohali (Down),S421
408,New Airport Chowk- Mohali (Up),S419
409,"NEW COMMUNITY CENTRE, SECTOR 56",S881
410,"NEW COMMUNITY CENTRE VIKAS NAGAR, MAULI JAGRAN, CHANDIGARH",S809
411,New Creche building near anganwadi centre ramdarbar,S915
412,"New Creche building,. Sector 27C",S921
413,New Maloya Colony.,S259
414,New Maloya Parking.,S600
415,New OPD (Down),S534
416,New OPD (Up),S146
840,"SGGS COLLEGIATE PUBLIC SCHOOL, SECTOR-26, Chandigarh",S775
841,"SHARDA SARVHITKARI MODEL SENIOR SECONDARY SCHOOL, SECTOR 40 D",S882
842,"SHISHU NIKETAN MODEL Sr Sec SCHOOL, SECTOR -22D, Chandigarh",S759
843,"SHIVALIK PUBLIC SCHOOL, SECTOR 41 B",S892
844,Sialba Majri,S397
845,Singha Devi,S562
846,Singhpura (Down),S157
847,Singhpura (UP),S159
848,Siyonk/Soonak.,Siyonk/ Soonak
849,Sohana,S97
24,Amity University.,S1001
25,"Anganwadi 2 Creche near civil dispensary, Daddu majra",S834
26,"Anganwadi Building no 1, Maloya Colony Chandigarh",S826
27,"Anqanwadi Buildinq no 1 Near Police Post, Sector 56 Chandigarh",S822
28,Anganwadi Building no 2-3 New Indira Colony.,S927
29,"Anganwadi Building no 2, Maloya Colony Chandigarh",S825
30,"Anganwadi Building no 3, Maloya Colony Chandigarh",S827
31,Anqanwadi centre near sant nirankari bhawan ramdarbar,S917
32,Anganwadi centre near vishvakarma mandir ramdarbar,S916
33,"ANGANWADI CENTRE NO-1 SECTOR-26, Bapu Dham",S913
34,Anganwadi Centre Ramdarbar,S925
35,"Anganwadi composite. building no 3/4 near Community Centre, Daddu majra",S833
36,"Anganwadi composite. building no 3 near Community Centre, Daddu majra",S831
37,"Anqanwadi composite building no 4 near Community Centre, Daddu majra",S832
38,"Anganwadi cum Creche Centre Building no 2, Sector 56 Chandigarh",S824
39,"ANKUR NURSERY SCHOOL PANJAB UNIVERSITY, SECTOR 14, CHANDIGARH",S750
40,Aroma,S48
86,"COMMUNITY CENTRE, BHAGWANPUrA. VI!L AGE KISHANGARH, Chandigarh",S836
87,"COMMUNITY CENTRE. MAUL JAGRAN COLONY, PART 2, CHANDIGARH",S811
88,"Community Centre near anganwadi composite building no 4, Daddu. majra(Harijan Dharamshala)",S830
89,"COMMUNITY CENTRE. NEAR SHIVALIK PARK, MANIMAJRA",S846
90,Community Centre near small flats Maloya.,S829
91,"COMMUNITY CENTRE, NEAR THAKURDWARA MANIMAJRA",S843
92,"COMMUNITY CENTRE, PHASE 2, RAMDARBAR, CHANDIGARH",S817
93,"COMMUNITY CENTRE, SARANGPUR",S736
116,"DAV MODEL SR SEC SCHOOL, SECTOR-15A, Chandigarh",S751
117,DAV MODEL Sr SEC SCHOOL SECTOR - 8C. CHANDIGARH,S744
118,Dayalpura,S385
119,"D C MONTESSORI (SR. SEC SMART) SCHOOL, MANIMAJRA",S845
120,Depot 3 Workshop,S577
121,Depot 4,S427
122,Dera Bassi,S23
123,Derri,S440
124,Derri Parking,S576
125,Desu Majra,S166
126,Devilal chowk Panchkula,S321
161,"G.M.S.S.School, Sector 20D, Chandigarh",S819
162,"G.M.S.S.SCHOOL. SECTOR-21A, Chandigarh",S773
163,"G.M.S.S.SCHOOL, SECTOR-27C, Chandigarh",S781
164,"G.M.S.S.SCHOOL, TIMBER MARKET, SECTOR-26 Chandigarh",S778
165,"G.M.S.S.School, Village Dhanas",S722
166,Golden Sand Apartment Dhakoli,S671
167,Golf Range,S681
168,"GOVERNMENT COLLEGE OF COMMERCE & BUSINESS ADMINISTRATION, SECTOR 50-C",S861
169,GOVERNMENT HIGH SCHOOL SECTOR 52,S865
170,GOVERNMENT HIGH SCHOOL (SMART) SECTOR 50 B,S862
171,"GOVERNMENT MODEL HIGH SCHOOL, SECTOR 49 D",S860
172,GOVERNMENT MODEL SENIOR SECONDARY SCHOOL RC-1 SMALL FLATS MALOYA,S866
173,Govind Vihar,S471
174,"GOVT COLLEGE OF EDUCATION, SECTOR-20D, Chandigarh",S772
175,"Govt High School and Community Centre, New Indira Colony",S924
176,"GOVT HIGH SCHOOL HALLOMAJRA, CAMPUS 2 INDUSTRIAL AREA, PHASE-1",S803
177,GOVT HIGH SCHOOL MALOYA COLONY,S868
196,"Govt Model High School, kishangarh.",S821
197,"GOVT MODEL HIGH SCHOOL MAKHAN MAJRA, CHANDIGARH",S813
198,"GOVT MODEL HIGH SCHOOL MAULI JAGRAN COLONY, CHANDIGARH",S810
199,"GOVT MODEL HIGH SCHOOL NEAR BUS STAND, MANIMAJRA",S840
200,Govt Model High School Pocket no 1,S928
201,"GOVT. MODEL HIGH SCHOOL POCKET NO-8, MANIMAJRA",S849
202,"GOVT MODEL HIGH SCHOOL (RC-1), DHANAS",S725
203,"GOVT MODEL HIGH SCHOOL (RC-2), DHANAS",S726
349,Lakhnaur (DC Office Mohali),S272
350,Landran (Down),S123
351,Landran Parking,S597
352,Landran (Up),S124
353,"LIBRARY NEAR GOVT Sr Sec SCHOOL, DADUMAJRA COLONY",S872
354,Lohgarh,S454
355,LOHIA INTERNATIONAL SCHOOL. MANIMAJRA,S848
356,Madanpur 32 (Down),S489
357,Madanpur 32 (Up),S488
358,Madanpur (Down),S258
359,Madanpur (Up),S257
882,UT Secretariat Towards ISBT 43,S177
883,"VACANT FLAT, IN PART 2, MAULI JAGRAN, CHANDIGARH",S812
884,Victoria Enclave Zirakpur,S625
885,vikasnagar,S564
886,Vikas Nagar.,S381
887,"XEN HORTICULTURE DIVISION, SECTOR - 23C",S761
888,YPS CHOWK (Down),S98
889,YPS Chowk (Up),S542
890,YPS/Sector 52/61,S100
891,YPS/Sector 61/52,S99
892,Zirakpur Bus Stand,S609
893,Zirakpur (Down),S45
894,Zirakpur Parking,S631
895,Zirakpur/S/Vihar,S391
896,Zirakpur (Up),S46
